Time,"T° Read 3:540/25,590/20",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
3:29:17,37,16565,16597,16597,16632,16546,16444,16371,16731,16085,16472,16332,16686,16480,16940,25964,16505,16494,16975,16707,17394,16770,16180,16401,16563,16488,17629,24688,16335,17088,16835,16708,17249,16678,17013,16322,16495,16370,16520,16451,16300,16604,16687,16723,17235,16715,16766,16385,16794,16426,16540,16637,20052,16473,21393,16848,23349,16761,16750,16295,16516,16303,25930,16653,16318,16289,16511,16556,16341,16427,16451,16254,16627,16653,27395,16558,16238,16118,16133,16108,16113,15914,16504,16445,16622,16399,16561,16812,16110,16120,16022,15946,16664,15721,16189,16253,16455
3:39:17,37,16588,16518,16614,16552,16593,16465,16361,16717,16042,16466,16295,16582,16402,16954,27467,16488,16488,16995,16657,17436,16750,16224,16275,16518,16443,17762,25883,16304,17050,16906,16726,17296,16720,17131,16256,16470,16336,16504,16370,16443,16515,16809,16715,17327,16726,16805,16317,16760,16479,16508,16597,20839,16440,22513,16791,24888,16784,16734,16255,16517,16376,27468,16661,16328,16265,16469,16521,16313,16358,16438,16288,16543,16649,29025,16454,16215,16086,16118,15983,16058,15925,16436,16488,16614,16398,16528,16783,16055,16154,15989,15970,16583,15663,16082,16194,16396
3:49:17,37,16714,16631,16618,16603,16577,16479,16420,16808,16149,16544,16410,16721,16509,17126,29250,16629,16571,17183,16767,17590,16782,16383,16306,16634,16416,17847,27472,16456,17064,17021,16736,17368,16788,17170,16307,16506,16395,16533,16334,16561,16611,16870,16734,17473,16786,16841,16371,16759,16462,16523,16724,21928,16560,23855,16753,26949,16794,16815,16373,16644,16431,29298,16666,16292,16303,16480,16579,16365,16465,16535,16326,16583,16574,30969,16475,16220,16096,16034,16068,16185,15927,16549,16518,16652,16403,16553,16798,16157,16158,15960,16004,16584,15743,16192,16260,16412
3:59:17,37,16630,16620,16644,16610,16543,16542,16398,16752,16190,16517,16350,16736,16476,17223,31069,16755,16631,17324,16740,17728,16836,16466,16331,16609,16549,18084,29095,16518,17027,17201,16800,17626,16735,17253,16269,16549,16444,16560,16260,16651,16596,16975,16742,17595,16743,16814,16436,16762,16503,16472,16707,23070,16464,25354,16803,29410,16819,16788,16288,16579,16429,31102,16677,16304,16319,16444,16580,16369,16455,16518,16259,16566,16578,32763,16511,16290,16069,16047,16003,16153,15904,16522,16482,16659,16401,16556,16811,16091,16171,15969,15919,16634,15780,16110,16263,16450
4:09:17,37,16562,16620,16646,16597,16550,16481,16387,16684,16116,16522,16311,16628,16448,17398,32988,16866,16671,17468,16776,17795,16811,16569,16299,16566,16498,18134,31234,16553,17060,17287,16844,17695,16755,17405,16322,16503,16375,16587,16277,16803,16608,17095,16789,17727,16775,16812,16385,16825,16508,16486,16680,24635,16519,27269,16770,32415,16764,16803,16348,16598,16427,33032,16650,16249,16354,16495,16546,16419,16437,16514,16277,16630,16599,35012,16507,16253,16029,16099,16047,16171,15878,16524,16509,16646,16336,16597,16853,16141,16151,15969,16004,16599,15744,16159,16279,16456
4:19:17,37,16523,16504,16494,16548,16451,16389,16270,16641,16074,16383,16292,16592,16407,17324,35155,16841,16640,17517,16778,17842,16709,16663,16333,16507,16434,18292,33934,16734,17029,17436,16849,17766,16739,17512,16322,16526,16420,16523,16281,16858,16580,17187,16970,17782,16763,16788,16392,16682,16385,16473,16640,26331,16525,29757,16854,35619,16776,16791,16283,16561,16420,35233,16680,16281,16301,16462,16633,16370,16437,16511,16308,16527,16576,37242,16519,16214,16048,15994,16060,16086,15894,16527,16476,16571,16377,16523,16833,16066,16130,16031,15958,16488,15651,16127,16243,16421
4:29:17,37,16522,16656,16625,16607,16564,16449,16377,16744,16061,16452,16309,16583,16447,17416,37411,16997,16738,17749,16888,18091,16771,16782,16320,16491,16401,18386,37253,16874,17043,17539,16858,17849,16766,17609,16280,16478,16358,16543,16337,17036,16548,17423,17440,17876,16714,16757,16396,16772,16508,16451,16660,28753,16419,33140,16773,39322,16798,16833,16324,16556,16427,37727,16656,16315,16310,16431,16568,16329,16505,16464,16325,16578,16618,40539,16481,16245,16044,16061,16027,16135,15930,16538,16545,16608,16442,16521,16790,16173,16153,16003,15988,16643,15701,16135,16234,16419
4:39:17,37,16643,16632,16653,16639,16599,16468,16418,16714,16172,16530,16370,16707,16471,17840,40175,17118,16790,17873,16935,18201,16761,16944,16299,16619,16489,18547,41200,17014,17045,17736,16929,17981,16729,17812,16309,16519,16400,16538,16389,17114,16609,17552,17449,18080,16753,16793,16374,16774,16421,16652,16684,31946,16506,36926,16856,43331,16802,16841,16281,16610,16456,40791,16756,16349,16274,16468,16562,16409,16437,16481,16287,16621,16640,44363,16566,16256,16137,16168,16123,16190,15949,16480,16611,16654,16430,16586,16829,16181,16132,15984,15925,16676,15752,16165,16260,16458
4:49:17,37,16609,16574,16617,16629,16618,16501,16371,16756,16112,16513,16311,16688,16460,17931,43224,17290,16739,17952,16898,18316,16800,17048,16412,16612,16483,18712,45447,17115,17054,17879,16933,18129,16766,17884,16309,16512,16403,16606,16414,17360,16575,17654,17501,18209,16764,16669,16361,16731,16438,16451,16720,35556,16528,40970,16769,47487,16762,16793,16258,16564,16405,44434,16678,16383,16319,16528,16576,16440,16465,16563,16389,16579,16622,48817,16547,16254,16164,16124,16072,16099,15925,16523,16545,16662,16386,16609,16827,16166,16161,16073,15999,16587,15737,16182,16295,16490
4:59:17,37,16544,16607,16590,16609,16588,16543,16387,16735,16062,16481,16283,16632,16482,18113,46882,17480,16748,18132,16852,18477,16722,17153,16282,16525,16477,18798,49991,17269,17082,18011,16849,18269,16713,18012,16305,16537,16422,16567,16499,17491,16545,17709,17444,18376,16755,16744,16357,16757,16465,16575,16724,39485,16502,45282,16768,52066,16814,16751,16260,16514,16404,48767,16663,16325,16353,16480,16546,16348,16462,16525,16292,16569,16575,53600,16526,16285,16130,16043,16074,16102,15927,16481,16472,16655,16314,16535,16801,16102,16116,15978,15917,16616,15712,16182,16274,16414
