Time,A,B,C,D,E
9:28:00,0.584,0.632,0.156,0.098,0.541
9:38:00,0.59,0.628,0.161,0.097,0.552
9:48:00,0.582,0.639,0.167,0.097,0.54
9:58:00,0.581,0.626,0.173,0.097,0.539
10:08:00,0.58,0.626,0.182,0.098,0.538
10:18:00,0.579,0.624,0.191,0.098,0.538
10:28:00,0.579,0.639,0.199,0.098,0.536
10:38:00,0.578,0.622,0.211,0.096,0.536
10:48:00,0.578,0.623,0.226,0.097,0.535
10:58:00,0.577,0.621,0.243,0.097,0.543
11:08:00,0.576,0.623,0.261,0.097,0.534
11:18:00,0.576,0.619,0.282,0.097,0.533
11:28:00,0.575,0.617,0.306,0.097,0.533
11:38:00,0.574,0.617,0.336,0.097,0.531
11:48:00,0.574,0.623,0.371,0.098,0.531
11:58:00,0.573,0.614,0.414,0.097,0.53
12:08:00,0.584,0.613,0.454,0.097,0.53
12:18:00,0.572,0.62,0.49,0.098,0.53
12:28:00,0.571,0.635,0.528,0.097,0.529
12:38:00,0.57,0.611,0.556,0.097,0.529
12:48:00,0.57,0.61,0.583,0.097,0.528
12:58:00,0.569,0.609,0.607,0.097,0.528
13:08:00,0.568,0.607,0.632,0.097,0.527
13:18:00,0.568,0.609,0.653,0.097,0.528
13:28:00,0.567,0.605,0.674,0.097,0.526
13:38:00,0.566,0.605,0.693,0.097,0.525
13:48:00,0.566,0.604,0.712,0.097,0.525
13:58:00,0.565,0.603,0.726,0.097,0.524
14:08:00,0.565,0.604,0.739,0.097,0.524
14:18:00,0.565,0.602,0.751,0.097,0.523
14:28:00,0.564,0.6,0.764,0.097,0.522
14:38:00,0.563,0.599,0.781,0.097,0.522
14:48:00,0.563,0.598,0.789,0.097,0.521
14:58:00,0.562,0.598,0.8,0.097,0.523
15:08:00,0.562,0.597,0.811,0.098,0.521
15:18:00,0.561,0.595,0.826,0.097,0.519
15:28:00,0.56,0.595,0.833,0.098,0.519
15:38:00,0.56,0.593,0.843,0.097,0.519
15:48:00,0.56,0.593,0.855,0.097,0.518
15:58:00,0.559,0.592,0.863,0.097,0.518
16:08:00,0.559,0.592,0.872,0.097,0.517
16:18:00,0.558,0.591,0.885,0.097,0.516
16:28:00,0.558,0.59,0.898,0.097,0.516
16:38:00,0.557,0.593,0.907,0.097,0.516
16:48:00,0.557,0.59,0.915,0.097,0.515
16:58:00,0.556,0.588,0.922,0.097,0.514
17:08:00,0.556,0.588,0.929,0.097,0.514
17:18:00,0.56,0.586,0.935,0.097,0.514
17:28:00,0.555,0.587,0.941,0.098,0.514
17:38:00,0.555,0.586,0.947,0.098,0.512
17:48:00,0.553,0.585,0.952,0.097,0.512
17:58:00,0.553,0.584,0.958,0.097,0.512
18:08:00,0.553,0.584,0.964,0.097,0.511
18:18:00,0.552,0.583,0.971,0.097,0.511
18:28:00,0.552,0.582,0.981,0.097,0.511
