Time,T° Read 1:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
5:18:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.09,0.091,0.546,0.586,0.561,0.602,0.603,0.623,0.648,0.091,0.515,0.089,0.089,0.09,0.616,0.691,0.568,0.094,0.613,0.638,0.638,0.088,0.621,0.089,0.088,0.091,0.094,0.517,0.592,0.091,0.601,0.397,0.647,0.089,0.166,0.089,0.092,0.09,0.092,0.089,0.686,0.094,0.692,0.091,0.73,0.09,0.092,0.089,0.088,0.089,0.563,0.089,0.09,0.09,0.09,0.09,0.091,0.091,0.095,0.089,0.089,0.091,0.594,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
5:28:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.087,0.089,0.091,0.543,0.585,0.57,0.601,0.601,0.627,0.648,0.091,0.515,0.088,0.088,0.09,0.616,0.697,0.578,0.094,0.611,0.636,0.638,0.088,0.623,0.088,0.088,0.09,0.094,0.527,0.592,0.09,0.6,0.406,0.646,0.088,0.18,0.089,0.091,0.09,0.092,0.088,0.692,0.094,0.698,0.091,0.732,0.09,0.093,0.089,0.088,0.088,0.561,0.089,0.09,0.09,0.09,0.09,0.09,0.09,0.094,0.088,0.089,0.091,0.591,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.093,0.088,0.09,0.088,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
5:38:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.089,0.091,0.545,0.584,0.577,0.6,0.61,0.62,0.647,0.092,0.516,0.088,0.088,0.09,0.616,0.701,0.587,0.094,0.61,0.635,0.636,0.088,0.619,0.089,0.088,0.09,0.094,0.538,0.591,0.09,0.599,0.447,0.644,0.088,0.201,0.089,0.092,0.09,0.092,0.089,0.698,0.094,0.702,0.091,0.735,0.09,0.093,0.089,0.089,0.089,0.561,0.089,0.09,0.089,0.09,0.091,0.091,0.091,0.094,0.088,0.089,0.091,0.588,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.09,0.093,0.09,0.089
5:48:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.087,0.089,0.091,0.545,0.583,0.591,0.598,0.601,0.618,0.645,0.091,0.514,0.088,0.088,0.09,0.615,0.705,0.6,0.094,0.608,0.632,0.634,0.088,0.617,0.088,0.089,0.09,0.093,0.548,0.589,0.09,0.597,0.441,0.642,0.088,0.225,0.089,0.091,0.09,0.091,0.089,0.702,0.093,0.705,0.091,0.741,0.09,0.094,0.089,0.088,0.088,0.56,0.089,0.09,0.089,0.09,0.09,0.09,0.09,0.095,0.088,0.089,0.091,0.595,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.093,0.088,0.089,0.088,0.088,0.091,0.089,0.089,0.091,0.088,0.092,0.091,0.093,0.09,0.089
5:58:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.09,0.091,0.56,0.583,0.596,0.599,0.599,0.618,0.645,0.093,0.514,0.089,0.088,0.09,0.615,0.707,0.605,0.094,0.607,0.632,0.634,0.088,0.617,0.089,0.088,0.091,0.094,0.557,0.589,0.091,0.595,0.64,0.642,0.088,0.253,0.089,0.092,0.09,0.092,0.089,0.705,0.094,0.71,0.091,0.749,0.09,0.095,0.089,0.089,0.089,0.559,0.089,0.09,0.09,0.091,0.09,0.091,0.091,0.095,0.088,0.089,0.091,0.586,0.09,0.092,0.091,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
6:08:04,37,0.088,0.091,0.09,0.089,0.088,0.09,0.09,0.089,0.09,0.088,0.087,0.09,0.091,0.593,0.582,0.598,0.596,0.599,0.616,0.645,0.093,0.513,0.089,0.089,0.09,0.612,0.71,0.606,0.094,0.606,0.63,0.633,0.088,0.616,0.089,0.088,0.09,0.094,0.568,0.588,0.091,0.595,0.5,0.641,0.089,0.286,0.089,0.092,0.091,0.092,0.089,0.71,0.094,0.712,0.091,0.751,0.09,0.097,0.089,0.089,0.089,0.559,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.089,0.089,0.091,0.587,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.092,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
6:18:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.087,0.089,0.091,0.54,0.581,0.598,0.596,0.598,0.615,0.642,0.093,0.512,0.088,0.088,0.09,0.611,0.72,0.605,0.094,0.605,0.634,0.631,0.088,0.628,0.088,0.088,0.09,0.094,0.581,0.587,0.09,0.593,0.516,0.64,0.088,0.327,0.089,0.091,0.09,0.092,0.089,0.719,0.093,0.721,0.091,0.747,0.09,0.099,0.089,0.088,0.089,0.558,0.088,0.09,0.09,0.09,0.09,0.09,0.091,0.094,0.088,0.089,0.091,0.586,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.088,0.091,0.088,0.092,0.09,0.093,0.09,0.089
6:28:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.089,0.091,0.54,0.581,0.595,0.594,0.596,0.614,0.641,0.094,0.511,0.089,0.088,0.09,0.61,0.722,0.603,0.094,0.604,0.628,0.631,0.088,0.614,0.089,0.089,0.09,0.094,0.586,0.587,0.09,0.592,0.481,0.639,0.088,0.364,0.089,0.092,0.09,0.092,0.089,0.72,0.093,0.725,0.091,0.745,0.09,0.102,0.089,0.088,0.089,0.559,0.089,0.09,0.089,0.09,0.091,0.09,0.09,0.095,0.088,0.089,0.091,0.584,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
6:38:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.087,0.09,0.091,0.539,0.579,0.595,0.597,0.596,0.613,0.64,0.095,0.511,0.089,0.089,0.09,0.609,0.721,0.601,0.094,0.603,0.627,0.63,0.088,0.614,0.089,0.09,0.091,0.094,0.6,0.586,0.09,0.591,0.479,0.639,0.088,0.389,0.089,0.093,0.091,0.092,0.09,0.72,0.094,0.724,0.091,0.744,0.09,0.107,0.089,0.088,0.089,0.557,0.089,0.09,0.089,0.091,0.09,0.09,0.091,0.095,0.089,0.089,0.091,0.586,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
6:48:04,37,0.088,0.091,0.09,0.089,0.088,0.09,0.09,0.09,0.089,0.088,0.088,0.09,0.092,0.582,0.579,0.592,0.594,0.596,0.612,0.64,0.097,0.511,0.089,0.089,0.09,0.608,0.719,0.6,0.094,0.604,0.632,0.632,0.088,0.614,0.089,0.088,0.091,0.094,0.606,0.586,0.091,0.591,0.491,0.638,0.089,0.412,0.089,0.092,0.091,0.092,0.09,0.717,0.094,0.723,0.091,0.741,0.09,0.11,0.089,0.089,0.089,0.557,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.587,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.089,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
